"date","time","temp","date.time.weather"
2024-09-18,0,11.6,2024-09-18
2024-09-18,1,11,2024-09-18 01:00:00
2024-09-18,2,10.5,2024-09-18 02:00:00
2024-09-18,3,9.5,2024-09-18 03:00:00
2024-09-18,4,9.4,2024-09-18 04:00:00
2024-09-18,5,8.9,2024-09-18 05:00:00
2024-09-18,6,8.2,2024-09-18 06:00:00
2024-09-18,7,9.2,2024-09-18 07:00:00
2024-09-18,8,10.7,2024-09-18 08:00:00
2024-09-18,9,12.8,2024-09-18 09:00:00
2024-09-18,10,15.4,2024-09-18 10:00:00
2024-09-18,11,17.7,2024-09-18 11:00:00
2024-09-18,12,18.8,2024-09-18 12:00:00
2024-09-18,13,19.7,2024-09-18 13:00:00
2024-09-18,14,20,2024-09-18 14:00:00
2024-09-18,15,19.9,2024-09-18 15:00:00
2024-09-18,16,19.6,2024-09-18 16:00:00
2024-09-18,17,18.6,2024-09-18 17:00:00
2024-09-18,18,17,2024-09-18 18:00:00
2024-09-18,19,15.3,2024-09-18 19:00:00
2024-09-18,20,14.2,2024-09-18 20:00:00
2024-09-18,21,13.5,2024-09-18 21:00:00
2024-09-18,22,12.9,2024-09-18 22:00:00
2024-09-18,23,11.9,2024-09-18 23:00:00
2024-09-19,0,12.2,2024-09-19
2024-09-19,1,10.8,2024-09-19 01:00:00
2024-09-19,2,10.2,2024-09-19 02:00:00
2024-09-19,3,9.5,2024-09-19 03:00:00
2024-09-19,4,9.7,2024-09-19 04:00:00
2024-09-19,5,10,2024-09-19 05:00:00
2024-09-19,6,10.2,2024-09-19 06:00:00
2024-09-19,7,11.1,2024-09-19 07:00:00
2024-09-19,8,12.9,2024-09-19 08:00:00
2024-09-19,9,14.6,2024-09-19 09:00:00
2024-09-19,10,16.7,2024-09-19 10:00:00
2024-09-19,11,18.7,2024-09-19 11:00:00
2024-09-19,12,19.8,2024-09-19 12:00:00
2024-09-19,13,20.5,2024-09-19 13:00:00
2024-09-19,14,21,2024-09-19 14:00:00
2024-09-19,15,21.1,2024-09-19 15:00:00
2024-09-19,16,20.5,2024-09-19 16:00:00
2024-09-19,17,18.9,2024-09-19 17:00:00
2024-09-19,18,16.6,2024-09-19 18:00:00
